,Bigram,Count
262,at least,3246
263,me on,3243
264,go to,3239
265,to try,3237
266,i used,3227
267,this was,3213
268,wake up,3205
269,couple of,3181
270,am not,3172
271,will be,3170
272,unable to,3164
273,would have,3161
274,years ago,3160
275,started to,3148
276,go away,3147
277,until i,3145
278,about a,3136
279,went away,3135
280,would be,3114
281,anxiety and,3106
282,have no,3093
283,memory loss,3077
284,me feel,3068
285,a good,3062
286,and now,3060
287,and am,3046
288,still have,3037
289,days and,3028
290,years and,3022
291,helped me,3011
292,i found,3003
293,i tried,3002
294,it works,2975
295,with it,2945
296,was so,2936
297,don't know,2930
298,was going,2916
299,drug for,2911
300,with no,2910
301,have never,2900
302,first time,2876
303,the other,2848
304,and not,2845
305,my head,2844
306,back pain,2841
307,now and,2840
308,hard to,2835
309,that my,2830
310,years i,2811
311,that was,2807
312,drug is,2804
313,again i,2783
314,there is,2772
315,this stuff,2769
316,the medicine,2764
317,put me,2760
318,to feel,2760
319,should be,2759
320,effects of,2758
321,had the,2754
322,months i,2753
323,all over,2749
324,so bad,2745
325,up in,2745
326,the weight,2742
327,two weeks,2739
328,this site,2728
329,i only,2726
330,have taken,2704
331,back on,2703
332,me and,2685
333,has helped,2683
334,been a,2679
335,off it,2673
336,they are,2659
337,and that,2658
338,i experienced,2641
339,i haven't,2611
340,have the,2598
341,mg of,2597
342,woke up,2595
343,life i,2591
344,and i'm,2588
345,decided to,2587
346,take a,2587
347,was very,2584
348,get off,2579
349,birth control,2578
350,it will,2577
351,all i,2574
352,i hope,2573
353,the night,2569
354,most of,2561
355,to this,2557
356,up and,2542
357,i began,2537
358,will never,2536
359,it again,2535
360,it does,2532
361,my husband,2526
362,depression and,2523
363,though i,2522
364,no longer,2521
365,see if,2520
366,was taking,2516
367,be a,2515
368,taking mg,2510
369,the best,2504
370,it would,2498
371,me a,2497
372,had been,2497
373,for weeks,2497
374,was in,2487
375,my skin,2487
376,better than,2480
377,wanted to,2469
378,deal with,2461
379,not worth,2448
380,medication i,2443
381,ago and,2440
382,it but,2438
383,per day,2436
384,makes me,2432
385,at a,2412
386,next day,2408
387,every day,2405
388,because it,2397
389,long term,2386
390,i've had,2377
391,i really,2374
392,all day,2370
393,it took,2358
394,my first,2353
395,never take,2350
396,pain i,2349
397,was prescribed,2345
398,to make,2343
399,put on,2343
400,having a,2340
401,up with,2327
402,times a,2326
403,the symptoms,2324
404,my dr,2321
405,night i,2313
406,of these,2307
407,get a,2306
408,that this,2299
409,i want,2295
410,months and,2289
411,mg and,2287
412,i noticed,2285
413,not a,2283
414,effects and,2282
415,the point,2281
416,too much,2276
417,night sweats,2275
418,not have,2275
419,some of,2268
420,try to,2263
421,my stomach,2255
422,the most,2254
423,taste in,2249
424,am now,2247
425,take mg,2246
426,you can,2242
427,at mg,2237
428,but my,2236
429,even though,2231
430,it worked,2231
431,along with,2229
432,an hour,2228
433,weeks i,2221
434,after reading,2216
435,drug and,2213
436,not to,2202
437,at times,2200
438,my face,2197
439,is that,2193
440,seemed to,2191
441,took the,2183
442,was having,2180
443,night and,2180
444,i need,2179
445,and this,2176
446,will not,2176
447,time and,2171
448,where i,2167
449,it seems,2158
450,my anxiety,2154
451,or so,2143
452,does not,2137
453,am going,2133
454,as the,2130
455,my blood,2130
456,there are,2129
457,down to,2128
458,could be,2127
459,feeling of,2119
460,week i,2117
461,these side,2116
462,think i,2105
463,recommend this,2103
464,not be,2102
465,know if,2096
466,than the,2086
467,the second,2082
468,of breath,2081
469,my heart,2063
470,one of,2062
471,is very,2061
472,days of,2052
473,other than,2052
474,this i,2050
475,day of,2048
476,can be,2046
477,it made,2039
478,to keep,2038
479,about months,2036
480,effects were,2031
481,through the,2024
482,to anyone,2020
483,inability to,2010
484,ago i,2003
485,i love,2002
486,sure if,2001
487,as it,1996
488,like the,1986
489,my symptoms,1984
490,work for,1983
491,but this,1979
492,week and,1978
493,two days,1978
494,help with,1977
495,lots of,1972
496,and they,1969
497,however i,1968
498,vivid dreams,1965
499,blurred vision,1964
500,it in,1963
501,am a,1958
502,but after,1955
503,am on,1944
504,are not,1941
505,like this,1940
506,am still,1934
507,to find,1930
508,to eat,1925
509,a while,1921
510,pill i,1915
511,my mouth,1909
512,go back,1904
513,a great,1904
514,my depression,1897
515,this for,1896
516,it at,1894
517,twice a,1892
518,it a,1892
519,but now,1891
520,make me,1890
521,have any,1890
522,if the,1889
523,to it,1876
524,dose of,1875
525,not recommend,1874
526,switched to,1873
527,heart rate,1872
528,may be,1871
529,and no,1871
530,weeks and,1870
531,had any,1868
532,after about,1868
533,on day,1861
534,this time,1860
535,kind of,1855
536,few weeks,1854
537,to normal,1852
538,it the,1846
539,back and,1843
540,days after,1843
541,over a,1840
542,first week,1840
543,began to,1835
544,to say,1834
545,but that,1829
546,have tried,1825
547,me that,1818
548,i cannot,1815
549,mg for,1814
550,the hospital,1813
551,day for,1812
552,the market,1811
553,the er,1811
554,nausea and,1811
555,help me,1806
556,muscle pain,1803
557,and he,1800
558,was told,1798
559,from my,1797
560,first few,1796
561,i now,1793
562,took this,1790
563,i dont,1789
564,worse than,1785
565,supposed to,1784
566,any side,1783
567,me the,1778
568,the generic,1775
569,few months,1775
570,be the,1769
571,and still,1769
572,short term,1765
573,well as,1764
574,tried to,1762
575,which was,1756
576,i wish,1754
577,off this,1751
578,i read,1749
579,my hair,1745
580,i decided,1744
581,to use,1743
582,rid of,1742
583,hands and,1740
584,while on,1734
585,not the,1733
586,to start,1730
587,after days,1729
588,from this,1728
589,months ago,1728
590,about it,1722
591,feel better,1721
592,dose i,1719
593,thought it,1718
594,i should,1716
595,it it,1715
596,problems with,1706
597,a long,1706
598,i lost,1704
599,first day,1700
600,the way,1699
601,being on,1695
602,my mind,1695
603,on and,1695
604,this has,1690
605,feeling like,1688
606,my legs,1685
607,that has,1682
608,a bad,1679
609,a half,1676
610,for over,1675
611,the dose,1672
612,to give,1666
613,is my,1664
614,extreme fatigue,1663
615,like it,1663
616,wish i,1662
617,and feet,1660
618,shortness of,1657
619,think it,1654
620,before taking,1646
621,was given,1645
622,a new,1640
623,than i,1638
624,don't have,1635
625,increase in,1635
626,out and,1635
627,stomach pain,1633
628,for two,1633
629,my mood,1633
630,found this,1631
631,prior to,1631
632,me it,1628
633,hours after,1628
634,once a,1625
635,about this,1623
636,am very,1623
637,know what,1621
638,all my,1620
639,mg i,1620
640,been off,1618
641,he was,1618
642,mg a,1617
643,ended up,1616
644,and anxiety,1613
645,time to,1609
646,heart palpitations,1607
647,year old,1607
648,well for,1606
649,drug has,1605
650,i believe,1602
651,diagnosed with,1601
652,month i,1600
653,and feel,1600
654,for this,1599
655,enough to,1596
656,and after,1595
657,great for,1590
658,bad i,1590
659,side affects,1588
660,this to,1579
661,i guess,1579
662,like my,1575
663,from a,1574
664,as if,1570
665,starting to,1564
666,off and,1561
667,it helped,1560
668,i'm going,1558
669,so many,1557
670,any of,1551
671,chest pain,1549
672,after my,1548
673,up my,1543
674,but i'm,1539
675,something else,1539
676,no more,1539
677,fall asleep,1536
678,later i,1536
679,am so,1535
680,a period,1533
681,not as,1529
682,sleep i,1528
683,my eyes,1527
684,and will,1524
685,the rest,1519
686,i wanted,1517
687,i gained,1513
688,to stay,1512
689,get the,1511
690,a problem,1509
691,i hate,1508
692,effects but,1507
693,like to,1507
694,better i,1506
695,with me,1506
696,at work,1505
697,only been,1504
698,sleep and,1504
699,for some,1501
700,worth the,1498
701,don't take,1497
702,also have,1495
703,there was,1495
704,instead of,1493
705,i woke,1493
706,the end,1492
707,you will,1491
708,and felt,1491
709,it out,1491
710,tingling in,1490
711,about years,1487
712,get out,1483
713,lower back,1482
714,years of,1480
715,days ago,1478
716,it's not,1477
717,about weeks,1477
718,up the,1475
719,they were,1472
720,just a,1472
721,be able,1471
722,and on,1470
723,tired and,1464
724,morning and,1464
725,the shot,1457
726,the meds,1456
727,me off,1449
728,my system,1449
729,is still,1448
730,of being,1445
731,to lose,1440
732,the dosage,1440
733,mg day,1437
734,it with,1434
735,it because,1434
736,my son,1434
737,was just,1433
738,went from,1426
739,am taking,1421
740,doctor and,1421
741,really bad,1421
742,these symptoms,1420
743,if this,1417
744,i finally,1416
745,very well,1416
746,one day,1415
747,why i,1411
748,my pain,1411
749,again and,1411
750,for hours,1409
751,it as,1407
752,into a,1405
753,and all,1400
754,i first,1397
755,any other,1396
756,for no,1393
757,rest of,1393
758,feels like,1393
759,out i,1392
760,of all,1391
761,caused by,1391
762,medication for,1391
763,took a,1390
764,much more,1387
765,also had,1386
766,when you,1383
767,started on,1383
768,within a,1382
769,may have,1382
770,no sex,1380
771,it makes,1379
772,works for,1378
773,the patch,1378
774,was able,1377
775,a dose,1377
776,year and,1373
777,and just,1373
778,after months,1371
779,to bed,1370
780,be on,1370
781,well i,1370
782,in mouth,1370
783,i became,1369
784,the beginning,1365
785,of sex,1365
786,my hands,1362
787,and depression,1361
788,a side,1358
789,a miracle,1352
790,end of,1351
791,no reason,1347
792,while taking,1346
793,the mg,1345
794,my last,1345
795,month and,1345
796,it's been,1344
797,me out,1337
798,taking a,1337
799,would never,1337
800,had an,1337
801,this and,1335
802,give it,1335
803,but then,1335
804,the med,1334
805,life and,1333
806,up i,1331
807,while i,1331
808,it really,1331
809,two years,1329
810,came back,1329
811,term memory,1327
812,my doc,1326
813,the depression,1325
814,of sleep,1323
815,stopped the,1322
816,thing i,1321
817,waking up,1321
818,helped with,1321
819,it didn't,1321
820,when it,1319
821,effects that,1317
822,of bed,1313
823,and when,1313
824,suicidal thoughts,1312
825,because the,1311
826,have an,1311
827,i wasn't,1307
828,the anxiety,1304
829,symptoms i,1303
830,other side,1302
831,it helps,1301
832,of time,1301
833,flu like,1299
834,no problems,1299
835,drug to,1299
836,once i,1298
837,the flu,1297
838,anyone else,1297
839,my family,1297
840,my sex,1296
841,to come,1296
842,work and,1295
843,it's a,1294
844,going on,1288
845,because my,1288
846,although i,1286
847,of them,1286
848,over my,1286
849,was put,1285
850,went back,1284
851,like symptoms,1282
852,amount of,1281
853,use it,1280
854,soon as,1279
855,hours of,1277
856,my own,1275
857,it on,1274
858,pain is,1272
859,took me,1271
860,don't want,1270
861,to know,1269
862,your doctor,1269
863,only thing,1269
864,is so,1268
865,two months,1268
866,your body,1267
867,headaches and,1265
868,very bad,1265
869,and if,1263
870,when the,1263
871,it doesn't,1259
872,i'm on,1258
873,after years,1258
874,effects from,1258
875,after being,1257
876,don't think,1255
877,first month,1254
878,as soon,1251
879,or two,1247
880,it can,1247
881,of water,1246
882,worked for,1246
883,the dr,1244
884,before and,1244
885,to quit,1244
886,i go,1243
887,first i,1242
888,it just,1241
889,metallic taste,1240
890,very tired,1240
891,me in,1238
892,it also,1237
893,and some,1237
894,lbs in,1232
895,also i,1231
896,of life,1231
897,months of,1229
898,bit of,1229
899,my chest,1229
900,now that,1228
901,taken it,1227
902,it my,1223
903,out there,1222
904,day after,1222
905,or not,1221
906,time in,1220
907,at my,1217
908,difficult to,1216
909,how long,1215
910,i developed,1215
911,this one,1214
912,had my,1214
913,reaction to,1214
914,my bp,1212
915,not had,1212
916,is no,1212
917,in bed,1211
918,to deal,1211
919,no other,1211
920,make sure,1210
921,have lost,1209
922,high blood,1207
923,it takes,1207
924,and very,1207
925,long time,1207
926,started having,1206
927,i find,1201
928,a full,1201
929,such a,1199
930,do anything,1198
931,it may,1196
932,have experienced,1195
933,my feet,1194
934,pain but,1194
935,i quit,1191
936,said i,1191
937,away i,1189
938,and in,1189
939,same time,1188
940,as much,1187
941,get my,1187
942,have ever,1186
943,i may,1185
944,way i,1185
945,three days,1184
946,cleared up,1184
947,this website,1183
948,for it,1182
949,a drug,1180
950,it after,1178
951,abdominal pain,1177
952,the right,1176
953,about hours,1176
954,might be,1175
955,middle of,1175
956,acid reflux,1175
957,change in,1173
958,of energy,1172
959,changed my,1172
960,i needed,1172
961,then the,1171
962,go off,1171
963,medication and,1170
964,but it's,1170
965,didn't have,1170
966,was diagnosed,1169
967,and she,1168
968,now i'm,1168
969,has not,1168
970,my back,1167
971,i wouldn't,1166
972,me but,1164
973,made my,1163
974,about days,1163
975,not work,1162
976,the th,1162
977,has worked,1161
978,medicine i,1160
979,related to,1158
980,in months,1157
981,as bad,1157
982,way to,1157
983,day but,1156
984,know that,1154
985,but they,1154
986,the pills,1153
987,mg x,1152
988,right now,1152
989,mouth and,1151
990,said it,1150
991,a time,1148
992,had some,1148
993,some people,1148
994,for you,1145
995,get up,1144
996,and so,1143
997,quality of,1143
998,the middle,1143
999,she was,1142
1000,stay on,1141
1001,have noticed,1141
1002,me with,1140
1003,weeks ago,1139
1004,legs and,1139
1005,out the,1139
1006,using it,1138
1007,such as,1137
1008,in years,1137
1009,into the,1134
1010,he said,1133
1011,my periods,1132
1012,the effects,1129
1013,and more,1127
1014,by my,1126
1015,brain fog,1124
1016,and it's,1123
1017,after that,1121
1018,first dose,1121
1019,pill and,1116
1020,feel a,1116
1021,from to,1115
1022,it wasn't,1115
1023,stop the,1114
1024,without it,1113
1025,panic attack,1113
1026,to think,1110
1027,have only,1109
1028,worked great,1109
1029,and get,1108
1030,helped my,1108
1031,don't feel,1106
1032,so it,1105
1033,like i'm,1105
1034,continue to,1104
1035,depressed and,1104
1036,than a,1104
1037,it all,1104
1038,tired all,1103
1039,cold turkey,1102
1040,ability to,1102
1041,is now,1101
1042,when my,1099
1043,year i,1098
1044,at this,1097
1045,went off,1095
1046,but still,1095
1047,got a,1094
1048,depression i,1093
1049,me my,1093
1050,went on,1090
1051,last night,1090
1052,get rid,1089
1053,mg per,1089
1054,to put,1088
1055,i actually,1088
1056,th day,1087
1057,haven't had,1085
1058,i wake,1083
1059,drug it,1083
1060,i knew,1083
1061,dose and,1083
1062,what it,1081
1063,fatigue and,1081
1064,having to,1080
1065,sore throat,1080
1066,after weeks,1079
1067,all these,1078
1068,bad side,1077
1069,it so,1075
1070,give me,1074
1071,to control,1073
1072,you take,1072
1073,my dose,1072
1074,have gained,1071
1075,my left,1071
1076,but if,1071
1077,for almost,1071
1078,noticed that,1070
1079,me so,1070
1080,weeks of,1069
1081,i switched,1069
1082,i've never,1068
1083,sleep at,1064
1084,so that,1061
1085,it could,1059
1086,i'm still,1059
1087,in your,1057
1088,that you,1057
1089,glad i,1056
1090,be taken,1056
1091,for several,1055
1092,pounds in,1053
1093,i eat,1051
1094,the problem,1050
1095,and has,1050
1096,morning i,1050
1097,have some,1049
1098,feel so,1045
1099,of days,1045
1100,as my,1044
1101,my brain,1044
1102,sense of,1043
1103,the doctors,1041
1104,a different,1041
1105,and other,1040
1106,ringing in,1040
1107,found that,1040
1108,i use,1039
1109,and see,1039
1110,the fact,1035
1111,i'm a,1035
1112,anxiety i,1034
1113,will have,1033
1114,only one,1030
1115,know how,1030
1116,of mg,1029
1117,how i,1029
1118,before the,1029
1119,worse i,1029
1120,work i,1027
1121,i called,1027
1122,the whole,1026
1123,gain and,1024
1124,a pill,1024
1125,and to,1022
1126,up on,1022
1127,of side,1022
1128,symptoms of,1021
1129,better and,1021
1130,said that,1019
1131,day to,1019
1132,people who,1019
1133,recommend it,1018
1134,part of,1018
1135,as long,1018
1136,to continue,1017
1137,and even,1017
1138,back i,1016
1139,of you,1016
1140,in hands,1015
1141,of libido,1015
1142,could have,1014
1143,heart attack,1013
1144,prescribed this,1013
1145,if anyone,1012
1146,mg at,1011
1147,a normal,1011
1148,what was,1011
1149,me sleep,1010
1150,would rather,1010
1151,was fine,1008
1152,had severe,1007
1153,away after,1007
1154,arms and,1006
1155,after stopping,1006
1156,drug that,1006
1157,few hours,1005
1158,all night,1004
1159,trouble sleeping,1004
1160,a small,1003
1161,think that,1002
1162,good luck,1002
1163,week of,1001
1164,doctor said,999
1165,not even,999
1166,three months,998
1167,yeast infection,998
1168,feel the,997
1169,been able,997
1170,sexual side,995
1171,no one,994
1172,can get,993
1173,effect i,993
1174,have my,991
1175,now have,991
1176,me up,990
1177,better but,989
1178,stomach cramps,989
1179,long as,989
1180,my dosage,988
1181,out in,985
1182,away from,983
1183,say that,981
1184,on me,981
1185,off i,980
1186,and back,979
1187,how much,979
1188,and pain,978
1189,me from,978
1190,the bathroom,977
1191,compared to,977
1192,saved my,977
1193,and is,976
1194,i told,976
1195,good for,975
1196,severe depression,974
1197,less than,974
1198,to walk,974
1199,i cant,974
1200,is an,974
1201,effect of,974
1202,myself off,974
1203,and you,973
1204,for more,973
1205,times i,972
1206,withdrawal symptoms,972
1207,only take,971
1208,but no,969
1209,did help,968
1210,of that,968
1211,pain was,967
1212,of pain,966
1213,years old,966
1214,has made,962
1215,noticed a,960
1216,it had,958
1217,problems i,957
1218,first two,957
1219,a life,957
1220,my second,957
1221,severe pain,956
1222,b c,956
1223,and i've,956
1224,and legs,956
1225,sometimes i,955
1226,not for,954
1227,severe anxiety,954
1228,and started,954
1229,taken off,953
1230,my boyfriend,953
1231,on for,951
1232,do it,951
1233,with mg,951
1234,feet and,950
1235,my throat,950
1236,and would,949
1237,making me,949
1238,i've tried,949
1239,alot of,948
1240,the nausea,948
1241,to not,947
1242,gained lbs,947
1243,works great,946
1244,years now,946
1245,only side,945
1246,every other,945
1247,and never,944
1248,thing that,942
1249,of weight,941
1250,should have,940
1251,weight and,938
1252,in and,938
1253,me for,937
1254,dizziness and,937
1255,not taking,936
1256,upset stomach,936
1257,numbness in,936
1258,have also,935
1259,i've taken,935
1260,was getting,935
1261,my right,935
1262,lost my,934
1263,i might,934
1264,increased appetite,934
1265,he is,934
1266,days but,933
1267,over years,933
1268,it's the,932
1269,breast tenderness,932
1270,they have,932
1271,take my,932
1272,feelings of,932
1273,go on,931
1274,mg twice,929
1275,far i,929
1276,for an,928
1277,hours i,926
1278,would like,926
1279,my neck,925
1280,happy with,924
1281,was my,923
1282,you feel,923
1283,every night,923
1284,a big,922
1285,to tell,922
1286,by a,922
1287,be very,921
1288,sensitive to,921
1289,or the,921
1290,any more,921
1291,drug but,920
1292,been the,918
1293,it if,917
1294,being able,917
1295,was only,917
1296,to die,917
1297,my daughter,917
1298,have found,917
1299,weight i,916
1300,depression anxiety,916
1301,of course,915
1302,helps me,915
1303,miracle drug,914
1304,thank god,914
1305,that i'm,913
1306,if my,913
1307,things i,912
1308,mg to,912
1309,to function,912
1310,to your,911
1311,of depression,911
1312,i see,911
1313,and for,909
1314,am also,909
1315,gained pounds,908
1316,my wife,908
1317,only took,908
1318,first started,908
1319,is to,908
1320,but when,907
1321,was also,907
1322,my side,907
1323,come off,907
1324,life back,906
1325,found out,906
1326,low dose,906
1327,am having,905
1328,months after,904
1329,needed to,903
1330,do i,903
1331,are the,902
1332,also take,902
1333,i like,901
1334,me at,901
1335,not get,901
1336,i always,900
1337,off for,899
1338,now on,898
1339,caused me,897
1340,weeks after,897
1341,one week,897
1342,this product,896
1343,but have,895
1344,just to,895
1345,and off,894
1346,around the,893
1347,you don't,892
1348,loss and,891
1349,still feel,891
1350,got worse,891
1351,coming off,890
1352,that they,890
1353,started with,889
1354,would recommend,888
1355,very very,888
1356,that would,888
1357,a low,888
1358,except for,887
1359,up at,887
1360,my appetite,886
1361,no appetite,886
1362,muscle aches,886
1363,down and,886
1364,aware of,885
1365,no energy,885
1366,make it,884
1367,am in,884
1368,to increase,883
1369,days later,882
1370,is great,881
1371,a heart,881
1372,never been,880
1373,a huge,879
1374,is gone,878
1375,energy and,878
1376,allergic to,877
1377,then it,876
1378,problem with,875
1379,a severe,873
1380,body aches,873
1381,neck and,870
1382,took my,870
1383,and only,869
1384,symptoms are,869
1385,started the,869
1386,and take,868
1387,without the,868
1388,last year,867
1389,know i,866
1390,and mg,864
1391,be careful,864
1392,so i'm,863
1393,back in,863
1394,but nothing,862
1395,mg daily,862
1396,took mg,861
1397,drug was,860
1398,anxiety depression,860
1399,my arms,860
1400,was like,859
1401,come back,859
1402,for one,858
1403,has a,858
1404,from mg,857
1405,i try,857
1406,before bed,857
1407,try it,857
1408,a horrible,857
1409,anxiety attacks,856
1410,effects at,856
1411,is just,855
1412,not being,855
1413,aches and,855
1414,within hours,854
1415,all this,854
1416,it when,853
1417,getting off,853
1418,light headed,852
1419,quit taking,851
1420,the bad,851
1421,pretty much,850
1422,think the,850
1423,fact that,850
1424,and found,850
1425,them i,850
1426,my weight,848
1427,love it,848
1428,doctor to,848
1429,three weeks,847
1430,right away,847
1431,and went,847
1432,today i,847
1433,going off,847
1434,for that,846
1435,throughout the,845
1436,so my,844
1437,me this,844
1438,what is,844
1439,every time,843
1440,goes away,843
1441,chest pains,843
1442,i ended,843
1443,i sleep,843
1444,to concentrate,842
1445,from it,842
1446,worried about,842
1447,reason i,839
1448,taken this,839
1449,tell me,839
1450,about my,838
1451,for three,838
1452,effects for,837
1453,to taking,837
1454,bad taste,836
1455,feeling in,836
1456,that are,835
1457,in fact,835
1458,the third,835
1459,vaginal dryness,834
1460,for those,834
1461,and also,833
1462,months now,833
1463,anything i,833
1464,as needed,833
1465,what to,832
1466,other meds,832
1467,can not,831
1468,great i,831
1469,not been,831
1470,of weeks,831
1471,to live,830
1472,none of,830
1473,much i,830
1474,he has,829
1475,and muscle,829
1476,negative side,828
1477,before my,827
1478,made it,827
1479,figure out,826
1480,no idea,826
1481,live with,824
1482,wonder if,824
1483,and could,823
1484,the infection,822
1485,type of,822
1486,dry skin,822
1487,a night,821
1488,interest in,819
1489,to all,819
1490,much worse,819
1491,help my,817
1492,headache and,817
1493,with all,817
1494,more energy,816
1495,had never,816
1496,of your,816
1497,am and,816
1498,no matter,815
1499,talk to,815
1500,pain relief,814
1501,will take,814
1502,lost lbs,814
1503,care of,813
1504,let me,813
1505,over time,813
1506,and at,812
1507,dizzy and,812
1508,see how,811
1509,mg in,811
1510,the benefits,810
1511,medication is,810
1512,falling asleep,810
1513,would get,809
1514,to treat,809
1515,and don't,809
1516,the entire,809
1517,will go,809
1518,you need,809
1519,suffer from,808
1520,in all,808
1521,felt so,808
1522,this again,808
1523,going through,807
1524,since the,807
1525,the cause,807
1526,allergic reaction,807
1527,point of,807
1528,several times,807
1529,into my,806
1530,few years,805
1531,dose to,804
1532,a headache,804
1533,in pain,804
1534,on i,803
1535,read the,801
1536,did i,801
1537,i saw,801
1538,i asked,801
1539,away and,800
1540,at bedtime,800
1541,felt better,799
1542,on an,799
1543,and feeling,799
1544,started getting,799
1545,day the,799
1546,in legs,798
1547,of anxiety,798
1548,that if,798
1549,hope it,798
1550,just started,798
1551,concerned about,798
1552,can take,798
1553,diet and,797
1554,decrease in,797
1555,i usually,797
1556,and nausea,797
1557,lost pounds,795
1558,see what,795
1559,hard time,794
1560,worked well,794
1561,it should,793
1562,doctor told,792
1563,is going,791
1564,get to,791
1565,i realized,791
1566,who have,790
1567,with that,790
1568,not help,790
1569,have stopped,790
1570,sinus infection,790
1571,and can,788
1572,to drink,788
1573,didn't work,788
1574,to focus,788
1575,period of,788
1576,appetite and,787
1577,never felt,787
1578,insomnia and,787
1579,until the,786
1580,what the,786
1581,had this,785
1582,really helped,785
1583,doctor prescribed,785
1584,cramps and,784
1585,was great,784
1586,it only,784
1587,going back,784
1588,now my,784
1589,was still,783
1590,and do,782
1591,bed and,782
1592,x a,782
1593,do have,781
1594,only a,781
1595,get it,780
1596,if they,779
1597,first couple,778
1598,you get,778
1599,afraid to,778
1600,for anxiety,778
1601,how to,777
1602,the fda,777
1603,thank you,777
1604,we are,775
1605,time but,775
