,Word,Count
204,drive,8625
205,told,8612
206,works,8608
207,most,8545
208,sure,8427
209,skin,8416
210,experienced,8403
211,morning,8396
212,myself,8337
213,though,8294
214,said,8244
215,due,8217
216,used,8116
217,muscle,8096
218,prescribed,8033
219,should,7989
220,during,7974
221,anything,7950
222,its,7944
223,nothing,7925
224,need,7894
225,something,7871
226,make,7826
227,through,7813
228,same,7786
229,anyone,7744
230,things,7739
231,does,7702
232,way,7657
233,far,7547
234,once,7533
235,high,7499
236,into,7488
237,med,7469
238,next,7464
239,able,7412
240,may,7380
241,however,7336
242,meds,7333
243,dr,7306
244,found,7301
245,control,7233
246,taste,7159
247,lot,7136
248,lost,7013
249,thing,6920
250,another,6876
251,problem,6849
252,within,6806
253,we,6762
254,couldn't,6731
255,experience,6713
256,swings,6681
257,always,6649
258,around,6631
259,less,6610
260,panic,6564
261,worth,6481
262,noticed,6458
263,memory,6430
264,pills,6420
265,low,6414
266,later,6373
267,head,6369
268,mild,6332
269,gone,6326
270,joint,6272
271,pressure,6268
272,seems,6222
273,dosage,6201
274,energy,6170
275,daily,6154
276,say,6113
277,eat,6087
278,chest,6086
279,legs,6030
280,bed,5954
281,cramps,5849
282,three,5849
283,terrible,5826
284,recommend,5813
285,sometimes,5758
286,depressed,5727
287,else,5723
288,trying,5704
289,find,5686
290,hard,5640
291,caused,5627
292,start,5605
293,her,5605
294,acne,5600
295,lbs,5591
296,hot,5541
297,read,5525
298,completely,5508
299,feet,5478
300,extremely,5474
301,slight,5453
302,worst,5450
303,hands,5428
304,dreams,5427
305,drugs,5423
306,hope,5385
307,starting,5385
308,using,5377
309,began,5253
310,attacks,5233
311,keep,5226
312,bleeding,5226
313,working,5218
314,give,5183
315,infection,5139
316,sleeping,5084
317,old,5075
318,couple,5074
319,finally,5056
320,left,5040
321,longer,5010
322,gained,4999
323,where,4996
324,face,4983
325,different,4962
326,vision,4923
327,actually,4921
328,periods,4914
329,cause,4914
330,pains,4903
331,makes,4902
332,everything,4893
333,lower,4855
334,bit,4854
335,half,4845
336,brain,4841
337,stuff,4839
338,gave,4836
339,happy,4808
340,several,4773
341,why,4738
342,enough,4728
343,thoughts,4695
344,second,4676
345,new,4669
346,doctors,4650
347,diarrhea,4649
348,issues,4622
349,pounds,4604
350,migraines,4594
351,hour,4591
352,others,4576
353,helps,4549
354,etc,4541
355,past,4529
356,believe,4476
357,shot,4447
358,constipation,4440
359,cold,4437
360,those,4436
361,stay,4430
362,sick,4430
363,came,4406
364,done,4373
365,eyes,4351
366,itching,4346
367,seem,4339
368,fine,4335
369,both,4324
370,constant,4320
371,given,4313
372,come,4289
373,became,4287
374,please,4286
375,term,4285
376,im,4284
377,short,4273
378,doing,4204
379,reading,4201
380,dizzy,4164
381,best,4153
382,per,4137
383,neck,4123
384,maybe,4120
385,increase,4118
386,point,4115
387,change,4094
388,him,4093
389,burning,4074
390,site,4067
391,trouble,4064
392,quit,4054
393,his,4030
394,tell,4020
395,treatment,3995
396,i'd,3994
397,doesn't,3983
398,light,3979
399,rash,3963
400,today,3963
401,libido,3954
402,leg,3953
403,twice,3937
404,throat,3937
405,pretty,3926
406,food,3916
407,doc,3905
408,full,3905
409,water,3888
410,wasn't,3886
411,lack,3881
412,major,3872
413,aches,3871
414,relief,3865
415,asleep,3864
416,immediately,3862
417,crazy,3850
418,generic,3839
419,haven't,3831
420,person,3814
421,although,3808
422,such,3808
423,wake,3801
424,minutes,3795
425,yet,3793
426,least,3746
427,love,3739
428,bloating,3726
429,especially,3722
430,reason,3716
431,sore,3703
432,experiencing,3696
433,flashes,3676
434,here,3665
435,everyone,3660
436,crying,3656
437,might,3654
438,reaction,3639
439,soon,3622
440,switched,3593
441,eating,3592
442,painful,3591
443,tingling,3587
444,each,3586
445,remember,3585
446,dont,3553
447,needed,3536
448,flu,3510
449,mind,3504
450,decided,3499
451,cannot,3492
452,wellbutrin,3490
453,withdrawal,3488
454,decreased,3439
455,thinking,3407
456,walk,3397
457,anymore,3381
458,x,3379
459,deal,3377
460,awful,3369
461,usually,3353
462,wanted,3346
463,rather,3340
464,changed,3325
465,probably,3320
466,system,3295
467,wish,3260
468,continue,3252
469,migraine,3250
470,already,3245
471,bp,3234
472,sweats,3221
473,difficulty,3204
474,developed,3198
475,unable,3186
476,swelling,3173
477,arms,3165
478,breath,3137
479,i'll,3114
480,seemed,3109
481,possible,3080
482,heavy,3063
483,stopping,3061
484,sweating,3055
485,attack,3045
486,exercise,3024
487,diet,3018
488,function,3014
489,cramping,3012
490,end,3009
491,small,3006
492,woke,3003
493,birth,2998
494,husband,2997
495,family,2997
496,sexual,2995
497,negative,2984
498,drink,2978
499,hospital,2976
500,vomiting,2975
501,care,2973
502,weird,2959
503,effexor,2946
504,tiredness,2939
505,lose,2932
506,er,2930
507,definitely,2913
508,comments,2893
509,called,2888
510,recently,2887
511,vivid,2887
512,anxious,2882
513,surgery,2876
514,their,2859
515,someone,2852
516,under,2825
517,nightmares,2804
518,clear,2803
519,th,2797
520,become,2792
521,quite,2790
522,effective,2785
523,home,2771
524,whole,2763
525,suicidal,2750
526,results,2749
527,diagnosed,2741
528,overall,2739
529,weakness,2739
530,doses,2728
531,coming,2726
532,lexapro,2724
533,along,2701
534,breast,2699
535,irritability,2695
536,that's,2685
537,drowsiness,2656
538,eye,2656
539,rate,2647
540,sleepy,2646
541,job,2630
542,constantly,2620
543,takes,2619
544,let,2612
545,big,2610
546,feels,2596
547,level,2593
548,medications,2589
549,anti,2586
550,except,2582
551,making,2577
552,emotional,2574
553,nose,2554
554,fall,2546
555,look,2544
556,causing,2536
557,hurt,2520
558,upset,2514
559,absolutely,2509
560,either,2505
561,numbness,2482
562,palpitations,2480
563,difficult,2479
564,beginning,2473
565,live,2472
566,allergies,2466
567,slowly,2455
568,feelings,2447
569,real,2437
570,focus,2436
571,course,2435
572,pregnant,2432
573,itchy,2408
574,zoloft,2405
575,health,2398
576,healthy,2388
577,sinus,2385
578,kept,2384
579,levels,2382
580,notice,2381
581,goes,2378
582,hell,2375
583,quickly,2362
584,intense,2361
585,mental,2358
586,instead,2353
587,scared,2352
588,acid,2349
589,patch,2348
590,c,2342
591,free,2338
592,part,2328
593,often,2326
594,hoping,2326
595,paxil,2324
596,totally,2318
597,anger,2315
598,related,2314
599,swollen,2297
600,occasional,2296
601,cymbalta,2290
602,chronic,2285
603,must,2281
604,b,2267
605,racing,2261
606,serious,2254
607,fever,2252
608,cough,2245
609,son,2243
610,hate,2242
611,red,2240
612,self,2238
613,rest,2238
614,joints,2228
615,glad,2226
616,reduced,2225
617,own,2225
618,injection,2224
619,gas,2223
620,awake,2220
621,abdominal,2218
622,w,2218
623,general,2209
624,wrong,2205
625,early,2203
626,kind,2195
627,initially,2192
628,confusion,2187
629,irritable,2185
630,thank,2177
631,affects,2173
632,wouldn't,2169
633,difference,2167
634,ok,2150
635,blurred,2150
636,alot,2138
637,prescription,2135
638,regular,2134
639,positive,2128
640,lots,2126
641,changes,2122
642,age,2120
643,cancer,2119
644,happened,2117
645,god,2110
646,d,2110
647,school,2110
648,wonder,2107
649,four,2105
650,allergic,2101
651,won't,2093
652,yrs,2090
653,muscles,2088
654,sleepiness,2086
655,entire,2084
656,improved,2078
657,fact,2075
658,minor,2063
659,ambien,2062
660,prior,2060
661,complete,2060
662,strange,2056
663,frequent,2053
664,lasted,2047
665,waking,2046
666,looking,2042
667,easily,2039
668,scary,2032
669,inability,2030
670,breathing,2029
671,test,2025
672,cycle,2023
673,ears,2022
674,our,2022
675,slept,2017
676,says,2016
677,research,2000
678,suffered,1992
679,fog,1991
680,xanax,1989
681,type,1987
682,guess,1984
683,ended,1984
684,bone,1983
685,strong,1979
686,market,1970
687,zyrtec,1963
688,angry,1952
689,pm,1948
690,continued,1945
691,spotting,1944
692,post,1942
693,fast,1941
694,stress,1940
695,between,1935
696,plus,1931
697,cut,1931
698,hand,1928
699,hives,1910
700,lamictal,1908
701,nearly,1906
702,cant,1898
703,chills,1897
704,total,1896
705,poison,1896
706,normally,1894
707,prozac,1885
708,rid,1879
709,asked,1877
710,amount,1867
711,cipro,1864
712,smoking,1862
713,cleared,1859
714,damage,1859
715,us,1847
716,slightly,1844
717,jaw,1843
718,area,1840
719,supposed,1835
720,orgasm,1833
721,miracle,1828
722,reflux,1826
723,depo,1819
724,fingers,1816
725,barely,1810
726,liver,1806
727,t,1806
728,arm,1796
729,losing,1790
730,suffering,1790
731,vaginal,1788
732,wait,1787
733,walking,1784
734,knees,1784
735,knew,1783
736,moody,1783
737,ask,1779
738,non,1777
739,gotten,1765
740,helping,1764
741,afraid,1762
742,tests,1762
743,case,1759
744,yeast,1754
745,huge,1751
746,causes,1748
747,worried,1747
748,insurance,1746
749,suffer,1742
750,talk,1741
751,break,1736
752,hungry,1732
753,nd,1729
754,happen,1723
755,dangerous,1722
756,isn't,1710
757,weak,1710
758,nights,1709
759,similar,1708
760,falling,1702
761,eventually,1700
762,sense,1698
763,ache,1697
764,teeth,1694
765,active,1694
766,realize,1693
767,recommended,1687
768,wonderful,1684
769,concerned,1683
770,didnt,1682
771,shortness,1678
772,dryness,1678
773,sensitive,1674
774,six,1668
775,product,1663
776,currently,1661
777,third,1658
778,improvement,1656
779,somewhat,1652
780,st,1651
781,sugar,1650
782,higher,1649
783,gets,1647
784,hopefully,1639
785,s,1628
786,concentrate,1628
787,run,1623
788,saw,1618
789,sensation,1617
790,allergy,1613
791,rapid,1610
792,add,1609
793,move,1601
794,room,1594
795,alcohol,1593
796,antibiotic,1591
797,unless,1584
798,asthma,1583
799,everyday,1582
800,nervous,1577
801,call,1575
802,physical,1574
803,realized,1570
804,disease,1565
805,concentration,1564
806,infections,1563
807,five,1562
808,disorder,1557
809,shoulder,1556
810,decrease,1555
811,upper,1552
812,die,1549
813,hrs,1547
814,drinking,1546
815,yes,1544
816,natural,1544
817,turned,1540
818,ortho,1540
819,careful,1538
820,cream,1532
821,stand,1528
822,website,1526
823,patients,1522
824,returned,1517
825,knee,1517
826,avoid,1514
827,middle,1505
828,daughter,1503
829,idea,1497
830,cry,1496
831,m,1494
832,lethargy,1494
833,ringing,1490
834,switch,1488
835,mostly,1488
836,comes,1487
837,tongue,1481
838,brand,1477
839,discharge,1477
840,addictive,1476
841,child,1474
842,luck,1470
843,tremors,1461
844,loose,1460
845,house,1459
846,bc,1457
847,risk,1453
848,rd,1452
849,evening,1451
850,giving,1450
851,topamax,1448
852,heartburn,1447
853,seroquel,1446
854,calm,1443
855,words,1442
856,highly,1439
857,mgs,1439
858,friends,1438
859,discomfort,1438
860,fear,1422
861,form,1421
862,matter,1420
863,children,1420
864,late,1420
865,cholesterol,1419
866,breasts,1413
867,anyway,1411
868,heard,1409
869,issue,1407
870,including,1405
871,name,1403
872,alone,1400
873,hallucinations,1396
874,prednisone,1394
875,boniva,1388
876,seeing,1386
877,spasms,1383
878,quality,1382
879,subsided,1377
880,medical,1375
881,usual,1373
882,metallic,1371
883,xl,1368
884,desire,1367
885,seen,1364
886,condition,1363
887,throughout,1361
888,moodiness,1359
889,shaking,1358
890,ive,1357
891,straight,1354
892,zombie,1354
893,ill,1350
894,looked,1345
895,nauseous,1344
896,leave,1338
897,claritin,1338
898,benefits,1336
899,ankles,1334
900,hip,1334
901,easy,1332
902,understand,1330
903,literally,1329
904,slow,1328
905,e,1328
906,uti,1327
907,miserable,1327
908,nexium,1327
909,pack,1325
910,social,1324
911,otherwise,1322
912,result,1321
913,drowsy,1315
914,thanks,1313
915,aware,1312
916,antibiotics,1312
917,excessive,1311
918,lips,1310
919,miss,1308
920,sad,1308
921,talking,1305
922,ear,1305
923,size,1302
924,prilosec,1301
925,saved,1298
926,state,1297
927,therapy,1292
928,plan,1291
929,hardly,1291
930,bloated,1290
931,missed,1289
932,tenderness,1288
933,baby,1287
934,numb,1286
935,check,1286
936,mentioned,1284
937,restless,1280
938,kidney,1280
939,following,1279
940,adderall,1278
941,cure,1277
942,added,1277
943,urine,1268
944,ones,1268
945,sit,1267
946,foot,1267
947,vertigo,1266
948,ability,1266
949,you're,1262
950,worry,1261
951,together,1259
952,tablet,1259
953,yesterday,1258
954,living,1258
955,amazing,1258
956,motivation,1255
957,celexa,1247
958,episodes,1245
959,initial,1244
960,suggested,1242
961,bedtime,1242
962,procedure,1241
963,despite,1240
964,tablets,1240
965,known,1239
966,seizures,1239
967,gradually,1236
968,foggy,1234
969,behavior,1233
970,sudden,1232
971,greatly,1231
972,pay,1231
973,unbearable,1229
974,pregnancy,1226
975,bathroom,1221
976,crap,1219
977,combination,1218
978,listed,1218
979,iv,1218
980,headed,1217
981,nurse,1213
982,women,1211
983,alternative,1209
984,hit,1208
985,figure,1207
986,handle,1207
987,wife,1203
988,reactions,1201
989,deep,1199
990,urination,1196
991,gum,1193
992,nasty,1190
993,expensive,1190
994,wear,1190
995,tightness,1185
996,nerve,1184
997,return,1179
998,reduce,1175
999,thyroid,1169
1000,irregular,1166
1001,fda,1166
1002,lyrica,1163
1003,boyfriend,1162
1004,driving,1160
1005,lowered,1160
1006,shoulders,1159
1007,levaquin,1157
1008,large,1157
1009,suicide,1153
1010,stick,1152
1011,xr,1151
1012,place,1146
1013,close,1146
1014,bowel,1144
1015,sensitivity,1144
1016,begin,1144
1017,diovan,1141
1018,significant,1138
1019,paranoia,1138
1020,hunger,1138
1021,increasing,1135
1022,cravings,1133
1023,klonopin,1133
1024,addicted,1130
1025,fat,1129
1026,turkey,1128
1027,forget,1127
1028,exhausted,1126
1029,unfortunately,1126
1030,seriously,1126
1031,patient,1122
1032,poor,1119
1033,death,1118
1034,nightmare,1116
1035,treat,1115
1036,advice,1111
1037,considering,1110
1038,white,1107
1039,kids,1107
1040,generally,1107
1041,possibly,1106
1042,interest,1106
1043,stiffness,1105
1044,mean,1105
1045,tolerate,1103
1046,prescribe,1101
1047,oh,1100
1048,bipolar,1098
1049,wondering,1095
1050,crestor,1095
1051,arimidex,1094
1052,nasal,1094
1053,provera,1093
1054,affect,1093
1055,jittery,1093
1056,saying,1086
1057,permanent,1081
1058,dark,1081
1059,world,1081
1060,balance,1077
1061,extra,1077
1062,basically,1076
1063,smell,1074
1064,otc,1073
1065,removed,1068
1066,arthritis,1067
1067,top,1064
1068,loved,1061
1069,emotions,1058
1070,agitation,1056
1071,uncomfortable,1055
1072,addiction,1055
1073,upon,1054
1074,tri,1054
1075,happens,1048
1076,previously,1045
1077,kill,1043
1078,suddenly,1042
1079,sleeplessness,1041
1080,common,1039
1081,truly,1035
1082,twitching,1033
1083,needs,1031
1084,bladder,1029
1085,personality,1029
1086,near,1029
1087,keeps,1029
1088,email,1026
1089,finished,1026
1090,dropped,1023
1091,lethargic,1020
1092,compared,1019
1093,yourself,1019
1094,hear,1018
1095,whether,1015
1096,mother,1009
1097,waiting,1006
1098,breakthrough,1006
1099,mention,1006
1100,experiences,1006
1101,afternoon,1004
1102,pms,1003
1103,syndrome,1003
1104,exhaustion,1001
1105,easier,997
1106,cost,995
1107,nice,995
1108,tolerance,994
1109,singulair,992
1110,rage,992
1111,history,987
1112,reviews,986
1113,beat,985
1114,affected,984
1115,car,981
1116,inside,979
1117,flagyl,978
1118,fell,978
1119,switching,977
1120,stayed,975
1121,above,971
1122,wonders,971
1123,disappeared,970
1124,foods,967
1125,running,967
1126,drop,966
1127,hormones,966
1128,moderate,965
1129,blurry,965
1130,versed,964
1131,gives,964
1132,sitting,962
1133,adverse,958
1134,emergency,954
1135,moods,953
1136,finding,953
1137,helpful,951
1138,followed,950
1139,hasn't,947
1140,occasionally,941
1141,flushing,941
1142,important,939
1143,information,939
1144,money,936
1145,estrogen,935
1146,spells,934
1147,list,932
1148,prevent,930
1149,single,930
1150,allegra,928
1151,manic,928
1152,chance,927
1153,ativan,926
1154,nervousness,925
1155,pharmacist,924
1156,ready,922
1157,seizure,922
1158,femara,919
1159,tomorrow,918
1160,likely,913
1161,broke,913
1162,honestly,911
1163,bactrim,911
1164,u,911
1165,lupron,909
1166,watch,906
1167,open,906
1168,heartbeat,903
1169,word,900
1170,coughing,897
1171,minimal,897
1172,hips,893
1173,smoke,892
1174,loestrin,891
1175,stiff,889
1176,annoying,888
1177,consider,888
1178,zero,886
1179,psychiatrist,885
1180,debilitating,882
1181,friend,879
1182,turn,878
1183,sores,877
1184,dying,876
1185,confused,876
1186,ocd,875
1187,brought,872
1188,class,869
1189,cured,869
1190,'s,869
1191,previous,867
1192,company,867
1193,p,865
1194,wanting,861
1195,vitamin,861
1196,lucky,860
1197,touch,860
1198,warning,859
1199,pass,858
1200,couldnt,858
1201,toes,858
1202,okay,857
1203,spent,856
1204,restlessness,855
1205,lasting,854
1206,certain,853
1207,coffee,853
1208,becoming,853
1209,sort,852
1210,physician,852
1211,tamiflu,850
1212,perhaps,848
1213,synthroid,846
1214,ate,845
1215,sent,843
1216,redness,843
1217,safe,843
1218,rare,842
1219,thats,842
1220,against,841
1221,odd,841
1222,groggy,841
1223,passed,841
1224,wean,840
1225,hurts,840
1226,choice,838
1227,ten,835
1228,whatsoever,834
1229,wants,830
1230,injections,830
1231,noticeable,829
1232,nasonex,828
1233,benadryl,828
1234,congestion,826
1235,o,825
1236,soreness,823
1237,super,822
1238,itself,822
1239,elevated,822
1240,thinning,821
1241,retention,820
1242,zocor,817
1243,enjoy,816
1244,treated,813
1245,flare,813
1246,scalp,813
1247,stroke,812
1248,facial,812
1249,process,810
1250,mine,810
1251,benefit,808
1252,stools,808
1253,withdrawl,807
1254,exactly,807
1255,controlled,803
1256,',802
1257,physically,802
1258,happening,800
1259,keeping,798
1260,sweat,798
1261,lunesta,797
1262,lamisil,797
1263,ruined,797
1264,breathe,796
1265,aching,795
1266,burn,793
1267,addition,792
1268,clenching,792
1269,gaining,791
1270,zaps,790
1271,counter,788
1272,suggest,786
1273,knows,786
1274,number,783
1275,euphoria,781
1276,moving,781
1277,movements,781
1278,double,780
1279,fun,780
1280,dealing,780
1281,simply,780
1282,fatigued,779
1283,gi,778
1284,aren't,778
1285,telling,777
1286,uncontrollable,777
1287,episode,776
1288,set,776
1289,stool,774
1290,massive,773
1291,immediate,772
1292,progesterone,772
1293,impossible,772
1294,com,771
1295,till,770
1296,relationship,765
1297,perfect,763
1298,speech,763
1299,staying,763
1300,yr,762
1301,severely,761
1302,shots,761
1303,finish,761
1304,putting,761
1305,itch,760
1306,version,760
1307,price,759
1308,ring,759
1309,clearly,758
1310,discontinued,758
1311,sharp,757
1312,warts,757
1313,regularly,757
1314,lay,755
1315,vicodin,753
1316,antidepressant,752
1317,figured,750
1318,changing,748
1319,relieved,747
1320,looks,746
1321,valium,745
1322,neurologist,745
1323,accutane,745
1324,hold,745
1325,minute,744
1326,order,744
1327,pounding,743
1328,showed,742
1329,mom,740
1330,edge,738
1331,remeron,737
1332,office,737
1333,note,737
1334,taper,736
1335,woman,735
1336,awhile,735
1337,macrobid,734
1338,college,734
1339,kick,734
1340,true,732
1341,menstrual,731
1342,rx,730
1343,imagine,729
1344,caffeine,729
1345,certainly,728
1346,follow,728
1347,stuck,727
1348,improve,726
1349,relieve,726
1350,worsened,725
1351,antidepressants,725
1352,imitrex,724
1353,yawning,723
1354,young,722
1355,attention,721
1356,gerd,721
1357,thru,719
1358,lasts,718
1359,killed,718
1360,menopause,717
1361,posted,716
1362,pharmacy,714
1363,fully,714
1364,learned,714
1365,concentrating,714
1366,subside,712
1367,moved,712
1368,symptom,709
1369,round,709
1370,basis,708
1371,there's,706
1372,irritation,703
1373,checked,702
1374,future,702
1375,ran,701
1376,agitated,699
1377,abdomen,698
1378,paranoid,697
1379,opinion,697
1380,bouts,697
1381,hormone,696
1382,concerta,695
1383,knowing,695
1384,coumadin,694
1385,line,694
1386,convinced,692
1387,discontinue,692
1388,dizzyness,691
1389,pulse,691
1390,warned,691
1391,differently,690
1392,empty,689
1393,cyclen,689
1394,forever,688
1395,available,688
1396,black,686
1397,clomid,685
1398,mania,683
1399,rarely,683
1400,chemo,682
1401,violent,681
1402,mentally,681
1403,tylenol,680
1404,oral,680
1405,fairly,680
1406,apparently,680
1407,stupid,679
1408,unpleasant,678
1409,hearing,677
1410,fibromyalgia,677
1411,meal,676
1412,situation,676
1413,thirst,676
1414,multiple,676
1415,earlier,675
1416,tested,675
1417,significantly,673
1418,satisfied,673
1419,posts,672
1420,mess,671
1421,illness,671
1422,spots,671
1423,relaxed,671
1424,quick,671
1425,plavix,669
1426,toprol,669
1427,bones,666
1428,tolerable,665
1429,dead,665
1430,speak,665
1431,man,663
1432,tight,662
1433,adhd,662
1434,mid,661
1435,upped,660
1436,aldara,660
1437,online,660
1438,immune,659
1439,nap,659
1440,calcium,658
1441,badly,657
1442,quitting,656
1443,md,656
1444,sun,654
1445,happier,652
1446,weaning,651
1447,stable,651
1448,associated,651
1449,acting,650
1450,strength,650
1451,funny,650
1452,abilify,649
1453,re,649
1454,potential,649
1455,glass,647
1456,fluid,647
1457,hyper,647
1458,contact,644
1459,shaky,643
1460,min,643
1461,drank,643
1462,sucks,642
1463,starts,641
1464,info,641
1465,dream,641
1466,success,640
1467,lithium,639
1468,emotionally,639
1469,focused,639
1470,sorry,639
1471,rls,638
1472,lo,638
1473,range,637
1474,threw,637
1475,write,637
1476,forward,636
1477,expect,636
1478,aspirin,635
1479,drunk,634
1480,diabetes,634
1481,sound,634
1482,report,633
1483,discovered,633
1484,tender,632
1485,oil,631
1486,fit,630
1487,option,629
1488,internet,629
1489,onset,629
1490,bruising,628
1491,recall,627
1492,exercising,625
1493,willing,625
1494,excellent,624
1495,horrific,622
1496,allowed,622
1497,withdrawals,620
1498,main,620
1499,originally,620
1500,ibs,620
1501,bottle,618
1502,gp,617
1503,lb,617
1504,prevacid,617
1505,tendon,615
1506,nor,614
1507,nauseated,614
1508,behind,613
1509,listen,612
1510,moment,611
1511,cognitive,610
1512,obviously,610
1513,hadn't,609
1514,provigil,607
1515,random,607
1516,treatments,607
1517,throw,606
1518,buspar,605
1519,describe,605
1520,neurontin,605
1521,whatever,604
1522,clots,603
1523,besides,602
1524,doctor's,602
1525,neuropathy,602
1526,companies,601
1527,diagnosis,598
1528,release,597
1529,weigh,597
1530,pleased,597
1531,lightheaded,597
1532,frequently,595
1533,effectiveness,594
1534,older,594
1535,hurting,593
1536,hated,592
1537,died,592
1538,gym,592
1539,areas,592
1540,beware,591
1541,properly,590
1542,flat,590
1543,achy,589
1544,forgot,587
1545,biaxin,587
1546,tapering,587
1547,insane,586
1548,thin,585
1549,described,585
1550,ankle,584
1551,summer,584
1552,advised,584
1553,further,584
1554,means,583
1555,agree,583
1556,unusual,583
1557,irritated,583
1558,peeling,582
1559,specialist,582
1560,sickness,582
1561,advise,581
1562,mistake,580
1563,clean,580
1564,aggressive,580
1565,pre,579
1566,additional,579
1567,ssri,579
1568,expected,578
1569,standing,577
1570,lately,577
1571,movement,577
1572,visit,576
1573,trip,575
1574,bring,575
1575,options,574
1576,saver,574
1577,depressants,573
1578,throwing,572
1579,simple,572
1580,surprised,571
1581,fungus,571
1582,remicade,570
1583,urge,569
1584,medicines,568
1585,talked,568
1586,apart,567
1587,manage,566
1588,toe,566
1589,pray,565
1590,cr,564
1591,bother,564
1592,below,563
1593,colonoscopy,562
1594,mcg,562
1595,cried,562
1596,continues,562
1597,infusion,562
1598,tastes,561
1599,trust,559
1600,bv,558
1601,biggest,558
1602,wow,558
1603,mornings,557
1604,explain,557
1605,harder,556
1606,hr,555
1607,bleed,554
1608,activity,553
1609,depressant,553
1610,flow,553
1611,lighter,553
1612,ways,552
1613,erection,550
1614,complaints,549
1615,tremendously,549
1616,sounds,549
1617,spaced,549
1618,solution,548
1619,concern,547
1620,thankful,547
1621,recovery,546
1622,combined,545
1623,finger,545
1624,patches,544
1625,steroids,544
1626,appointment,544
1627,havent,543
1628,scan,543
1629,inflammation,542
1630,based,542
1631,shortly,541
1632,yaz,541
1633,sensations,539
1634,mainly,538
1635,question,537
1636,occur,537
1637,geodon,537
1638,grateful,534
1639,answer,534
1640,web,534
1641,stories,533
1642,suppose,533
1643,outside,533
1644,decision,532
1645,sadness,531
1646,show,531
1647,incredibly,531
1648,heat,531
1649,tension,530
1650,sedation,529
1651,psychotic,529
1652,nails,528
1653,dysfunction,527
1654,tonight,527
1655,noticing,527
1656,dinner,526
1657,craving,525
1658,n,525
1659,present,525
1660,lead,523
1661,spacey,522
1662,alert,522
1663,tamoxifen,521
1664,indigestion,521
1665,cardiologist,521
1666,lightheadedness,521
1667,warm,521
1668,develop,520
1669,wrists,520
1670,relax,520
1671,wearing,520
1672,supplements,519
1673,zyprexa,519
1674,asacol,518
1675,raised,518
1676,stops,518
1677,alive,518
1678,diminished,517
1679,adjust,517
1680,approx,516
1681,milk,515
1682,kicked,515
