name,url
44,ADVIL LIQUI-GELS,viewrating.asp?drug=20402&name=ADVIL+LIQUI%2DGELS
45,ADVIL PM,viewrating.asp?drug=21394&name=ADVIL+PM
46,AEROSPAN HFA,viewrating.asp?drug=21247&name=AEROSPAN+HFA
47,AFINITOR,viewrating.asp?drug=22334&name=AFINITOR
48,AFRINOL,viewrating.asp?drug=18191&name=AFRINOL
49,AGGRENOX,viewrating.asp?drug=20884&name=AGGRENOX
50,AGRYLIN,viewrating.asp?drug=20333&name=AGRYLIN
51,AKNE-MYCIN,viewrating.asp?drug=50584&name=AKNE%2DMYCIN
52,ALAMAST,viewrating.asp?drug=21079&name=ALAMAST
53,ALAVERT,viewrating.asp?drug=21375&name=ALAVERT
54,ALBENZA,viewrating.asp?drug=20666&name=ALBENZA
55,ALBUTEROL,viewrating.asp?drug=72273&name=ALBUTEROL
56,ALBUTEROL SULFATE,viewrating.asp?drug=72151&name=ALBUTEROL+SULFATE
57,ALDACTAZIDE,viewrating.asp?drug=12616&name=ALDACTAZIDE
58,ALDACTONE,viewrating.asp?drug=12151&name=ALDACTONE
59,ALDARA,viewrating.asp?drug=20723&name=ALDARA
60,ALDOMET,viewrating.asp?drug=13400&name=ALDOMET
61,ALENDRONATE SODIUM,viewrating.asp?drug=77982&name=ALENDRONATE+SODIUM
62,ALESSE,viewrating.asp?drug=20683&name=ALESSE
63,ALEVE,viewrating.asp?drug=20204&name=ALEVE
64,ALEVE COLD AND SINUS,viewrating.asp?drug=21076&name=ALEVE+COLD+AND+SINUS
65,ALFUZOSIN HYDROCHLORIDE,viewrating.asp?drug=79057&name=ALFUZOSIN+HYDROCHLORIDE
66,ALINIA,viewrating.asp?drug=21498&name=ALINIA
67,ALLEGRA,viewrating.asp?drug=20625&name=ALLEGRA
68,ALLEGRA D 24 HOUR ALLERGY AND CONGESTION,viewrating.asp?drug=21704&name=ALLEGRA+D+24+HOUR+ALLERGY+AND+CONGESTION
69,ALLEGRA-D 12 HOUR ALLERGY AND CONGESTION,viewrating.asp?drug=20786&name=ALLEGRA%2DD+12+HOUR+ALLERGY+AND+CONGESTION
70,ALLI,viewrating.asp?drug=21887&name=ALLI
71,ALLOPURINOL,viewrating.asp?drug=18659&name=ALLOPURINOL
72,ALOCRIL,viewrating.asp?drug=21009&name=ALOCRIL
73,ALOPRIM,viewrating.asp?drug=20298&name=ALOPRIM
74,ALOXI,viewrating.asp?drug=21372&name=ALOXI
75,ALPHAGAN,viewrating.asp?drug=20490&name=ALPHAGAN
76,ALPHAGAN P,viewrating.asp?drug=21770&name=ALPHAGAN+P
77,ALPRAZOLAM,viewrating.asp?drug=74046&name=ALPRAZOLAM
78,ALREX,viewrating.asp?drug=20803&name=ALREX
79,ALTABAX,viewrating.asp?drug=22055&name=ALTABAX
80,ALTACE,viewrating.asp?drug=19901&name=ALTACE
81,ALTAVERA,viewrating.asp?drug=79102&name=ALTAVERA
82,ALUPENT,viewrating.asp?drug=15874&name=ALUPENT
83,ALVESCO,viewrating.asp?drug=21658&name=ALVESCO
84,ALYACEN 1/35,viewrating.asp?drug=91634&name=ALYACEN+1%2F35
85,ALYACEN 7/7/7,viewrating.asp?drug=91636&name=ALYACEN+7%2F7%2F7
86,AMANTADINE HCL,viewrating.asp?drug=70589&name=AMANTADINE+HCL
87,AMARYL,viewrating.asp?drug=20496&name=AMARYL
88,AMBIEN,viewrating.asp?drug=19908&name=AMBIEN
89,AMBIEN CR,viewrating.asp?drug=21774&name=AMBIEN+CR
90,AMERGE,viewrating.asp?drug=20763&name=AMERGE
91,AMIDATE,viewrating.asp?drug=18227&name=AMIDATE
92,AMILORIDE HCL AND HYDROCHLOROTHIAZIDE,viewrating.asp?drug=70795&name=AMILORIDE+HCL+AND+HYDROCHLOROTHIAZIDE
93,AMINOPHYLLINE,viewrating.asp?drug=81142&name=AMINOPHYLLINE
94,AMIODARONE HCL,viewrating.asp?drug=74739&name=AMIODARONE+HCL
95,AMITIZA,viewrating.asp?drug=21908&name=AMITIZA
96,AMITRIPTYLINE HCL,viewrating.asp?drug=84910&name=AMITRIPTYLINE+HCL
97,AMITRIPTYLINE HYDROCHLORIDE,viewrating.asp?drug=40218&name=AMITRIPTYLINE+HYDROCHLORIDE
98,AMITRIPTYLINE HYDROCHORIDE,viewrating.asp?drug=202446&name=AMITRIPTYLINE+HYDROCHORIDE
99,AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM,viewrating.asp?drug=203874&name=AMLODIPINE+BESYLATE+AND+ATORVASTATIN+CALCIUM
100,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,viewrating.asp?drug=78466&name=AMLODIPINE+BESYLATE+AND+BENAZEPRIL+HYDROCHLORIDE
101,AMLODIPINE BESYLATE AND VALSARTAN,viewrating.asp?drug=90011&name=AMLODIPINE+BESYLATE+AND+VALSARTAN
102,AMNESTEEM,viewrating.asp?drug=75945&name=AMNESTEEM
103,AMOXAPINE,viewrating.asp?drug=72418&name=AMOXAPINE
104,AMOXICILLIN,viewrating.asp?drug=61926&name=AMOXICILLIN
105,AMOXICILLIN AND CLAVULANATE POTASSIUM,viewrating.asp?drug=65191&name=AMOXICILLIN+AND+CLAVULANATE+POTASSIUM
106,AMOXIL,viewrating.asp?drug=50542&name=AMOXIL
107,AMPICILLIN TRIHYDRATE,viewrating.asp?drug=61370&name=AMPICILLIN+TRIHYDRATE
108,AMPYRA,viewrating.asp?drug=22250&name=AMPYRA
109,AMRIX,viewrating.asp?drug=21777&name=AMRIX
110,ANADROL-50,viewrating.asp?drug=16848&name=ANADROL%2D50
111,ANAFRANIL,viewrating.asp?drug=19906&name=ANAFRANIL
112,ANAPROX,viewrating.asp?drug=18164&name=ANAPROX
113,ANASTROZOLE,viewrating.asp?drug=78944&name=ANASTROZOLE
114,ANCEF,viewrating.asp?drug=50461&name=ANCEF
115,ANCOBON,viewrating.asp?drug=17001&name=ANCOBON
116,ANDRODERM,viewrating.asp?drug=20489&name=ANDRODERM
117,ANDROGEL,viewrating.asp?drug=21015&name=ANDROGEL
118,ANEXSIA,viewrating.asp?drug=89160&name=ANEXSIA
119,ANGELIQ,viewrating.asp?drug=21355&name=ANGELIQ
120,ANORO ELLIPTA,viewrating.asp?drug=203975&name=ANORO+ELLIPTA
121,ANSAID,viewrating.asp?drug=18766&name=ANSAID
122,ANTIVERT,viewrating.asp?drug=10721&name=ANTIVERT
123,ANUSOL HC,viewrating.asp?drug=88250&name=ANUSOL+HC
124,APIDRA,viewrating.asp?drug=21629&name=APIDRA
125,APLENZIN,viewrating.asp?drug=22108&name=APLENZIN
126,APRESOLINE,viewrating.asp?drug=8303&name=APRESOLINE
127,APRISO,viewrating.asp?drug=22301&name=APRISO
128,APTIOM,viewrating.asp?drug=22416&name=APTIOM
129,ARALEN,viewrating.asp?drug=6002&name=ARALEN
130,ARANELLE,viewrating.asp?drug=76783&name=ARANELLE
131,ARAVA,viewrating.asp?drug=20905&name=ARAVA
132,AREDIA,viewrating.asp?drug=20036&name=AREDIA
133,ARICEPT,viewrating.asp?drug=20690&name=ARICEPT
134,ARICEPT ODT,viewrating.asp?drug=21720&name=ARICEPT+ODT
135,ARIMIDEX,viewrating.asp?drug=20541&name=ARIMIDEX
136,ARISTOCORT,viewrating.asp?drug=11161&name=ARISTOCORT
137,ARIXTRA,viewrating.asp?drug=21345&name=ARIXTRA
138,AROMASIN,viewrating.asp?drug=20753&name=AROMASIN
139,ARTANE,viewrating.asp?drug=6773&name=ARTANE
140,ARTHROTEC,viewrating.asp?drug=20607&name=ARTHROTEC
141,ASACOL,viewrating.asp?drug=19651&name=ASACOL
142,ASACOL HD,viewrating.asp?drug=21830&name=ASACOL+HD
143,ASMANEX TWISTHALER,viewrating.asp?drug=21067&name=ASMANEX+TWISTHALER
144,ASTELIN,viewrating.asp?drug=20114&name=ASTELIN
145,ASTEPRO,viewrating.asp?drug=22203&name=ASTEPRO
146,ATACAND,viewrating.asp?drug=20838&name=ATACAND
147,ATACAND HCT,viewrating.asp?drug=21093&name=ATACAND+HCT
148,ATARAX,viewrating.asp?drug=10485&name=ATARAX
149,ATELVIA,viewrating.asp?drug=22560&name=ATELVIA
150,ATENOLOL,viewrating.asp?drug=72303&name=ATENOLOL
151,ATENOLOL AND CHLORTHALIDONE,viewrating.asp?drug=72301&name=ATENOLOL+AND+CHLORTHALIDONE
152,ATIVAN,viewrating.asp?drug=17794&name=ATIVAN
153,ATORVASTATIN CALCIUM,viewrating.asp?drug=76477&name=ATORVASTATIN+CALCIUM
154,ATRALIN,viewrating.asp?drug=22070&name=ATRALIN
155,ATRIPLA,viewrating.asp?drug=21937&name=ATRIPLA
156,ATROVENT,viewrating.asp?drug=19085&name=ATROVENT
157,AUBAGIO,viewrating.asp?drug=202992&name=AUBAGIO
158,AUGMENTIN '125',viewrating.asp?drug=50575&name=AUGMENTIN+%27125%27
159,AUGMENTIN '250',viewrating.asp?drug=50564&name=AUGMENTIN+%27250%27
160,AUGMENTIN '875',viewrating.asp?drug=50720&name=AUGMENTIN+%27875%27
161,AUGMENTIN XR,viewrating.asp?drug=50785&name=AUGMENTIN+XR
162,AVALIDE,viewrating.asp?drug=20758&name=AVALIDE
163,AVANDIA,viewrating.asp?drug=21071&name=AVANDIA
164,AVAPRO,viewrating.asp?drug=20757&name=AVAPRO
165,AVELOX,viewrating.asp?drug=21085&name=AVELOX
166,AVELOX IN SODIUM CHLORIDE 0.8% IN PLASTIC CONTAINER,viewrating.asp?drug=21277&name=AVELOX+IN+SODIUM+CHLORIDE+0%2E8%25+IN+PLASTIC+CONTAINER
167,AVIANE-28,viewrating.asp?drug=75796&name=AVIANE%2D28
168,AVINZA,viewrating.asp?drug=21260&name=AVINZA
169,AVITA,viewrating.asp?drug=20404&name=AVITA
170,AVODART,viewrating.asp?drug=21319&name=AVODART
171,AVONEX,viewrating.asp?drug=103628&name=AVONEX
172,AXERT,viewrating.asp?drug=21001&name=AXERT
173,AXID,viewrating.asp?drug=19508&name=AXID
174,AXIRON,viewrating.asp?drug=22504&name=AXIRON
175,AYGESTIN,viewrating.asp?drug=18405&name=AYGESTIN
176,AZASITE,viewrating.asp?drug=50810&name=AZASITE
177,AZATHIOPRINE,viewrating.asp?drug=74069&name=AZATHIOPRINE
178,AZELASTINE HYDROCHLORIDE,viewrating.asp?drug=78621&name=AZELASTINE+HYDROCHLORIDE
179,AZELEX,viewrating.asp?drug=20428&name=AZELEX
180,AZILECT,viewrating.asp?drug=21641&name=AZILECT
181,AZITHROMYCIN,viewrating.asp?drug=65246&name=AZITHROMYCIN
182,AZMACORT,viewrating.asp?drug=18117&name=AZMACORT
183,AZOPT,viewrating.asp?drug=20816&name=AZOPT
184,AZOR,viewrating.asp?drug=22100&name=AZOR
185,AZULFIDINE,viewrating.asp?drug=7073&name=AZULFIDINE
186,BACLOFEN,viewrating.asp?drug=72234&name=BACLOFEN
187,BACTRIM,viewrating.asp?drug=17377&name=BACTRIM
188,BACTRIM PEDIATRIC,viewrating.asp?drug=17560&name=BACTRIM+PEDIATRIC
189,BACTROBAN,viewrating.asp?drug=50591&name=BACTROBAN
190,BALZIVA-28,viewrating.asp?drug=76238&name=BALZIVA%2D28
191,BANZEL,viewrating.asp?drug=21911&name=BANZEL
192,BARACLUDE,viewrating.asp?drug=21798&name=BARACLUDE
193,BAYCOL,viewrating.asp?drug=20740&name=BAYCOL
194,BECONASE,viewrating.asp?drug=18584&name=BECONASE
195,BECONASE AQ,viewrating.asp?drug=19389&name=BECONASE+AQ
196,BELBUCA,viewrating.asp?drug=207932&name=BELBUCA
197,BELSOMRA,viewrating.asp?drug=204569&name=BELSOMRA
198,BELVIQ,viewrating.asp?drug=22529&name=BELVIQ
199,BENADRYL,viewrating.asp?drug=6146&name=BENADRYL
200,BENADRYL PRESERVATIVE FREE,viewrating.asp?drug=9486&name=BENADRYL+PRESERVATIVE+FREE
201,BENAZEPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,viewrating.asp?drug=76612&name=BENAZEPRIL+HYDROCHLORIDE+AND+HYDROCHLOROTHIAZIDE
202,BENICAR,viewrating.asp?drug=21286&name=BENICAR
203,BENICAR HCT,viewrating.asp?drug=21532&name=BENICAR+HCT
204,BENLYSTA,viewrating.asp?drug=125370&name=BENLYSTA
205,BENTYL,viewrating.asp?drug=7409&name=BENTYL
206,BENZACLIN,viewrating.asp?drug=50756&name=BENZACLIN
207,BENZAMYCIN,viewrating.asp?drug=50557&name=BENZAMYCIN
208,BENZAMYCIN PAK,viewrating.asp?drug=50769&name=BENZAMYCIN+PAK
209,BENZONATATE,viewrating.asp?drug=81297&name=BENZONATATE
210,BETAGAN,viewrating.asp?drug=19219&name=BETAGAN
211,BETAMETHASONE DIPROPIONATE,viewrating.asp?drug=19141&name=BETAMETHASONE+DIPROPIONATE
212,BETAMETHASONE VALERATE,viewrating.asp?drug=18861&name=BETAMETHASONE+VALERATE
213,BETAPACE,viewrating.asp?drug=19865&name=BETAPACE
214,BETAPACE AF,viewrating.asp?drug=21151&name=BETAPACE+AF
215,BETA-VAL,viewrating.asp?drug=18642&name=BETA%2DVAL
216,BETAXOLOL HCL,viewrating.asp?drug=75541&name=BETAXOLOL+HCL
217,BEYAZ,viewrating.asp?drug=22532&name=BEYAZ
218,BIAXIN,viewrating.asp?drug=50662&name=BIAXIN
219,BIAXIN XL,viewrating.asp?drug=50775&name=BIAXIN+XL
220,BICILLIN L-A,viewrating.asp?drug=50141&name=BICILLIN+L%2DA
221,BICNU,viewrating.asp?drug=17422&name=BICNU
222,BILTRICIDE,viewrating.asp?drug=18714&name=BILTRICIDE
223,BINOSTO,viewrating.asp?drug=202344&name=BINOSTO
224,BISOPROLOL FUMARATE AND HYDROCHLOROTHIAZIDE,viewrating.asp?drug=75469&name=BISOPROLOL+FUMARATE+AND+HYDROCHLOROTHIAZIDE
225,BLOCADREN,viewrating.asp?drug=18017&name=BLOCADREN
226,BONIVA,viewrating.asp?drug=21455&name=BONIVA
227,BONTRIL,viewrating.asp?drug=88021&name=BONTRIL
228,BONTRIL PDM,viewrating.asp?drug=85272&name=BONTRIL+PDM
229,BOTOX COSMETIC,viewrating.asp?drug=10300&name=BOTOX+COSMETIC
230,BRAVELLE,viewrating.asp?drug=21289&name=BRAVELLE
231,BREO ELLIPTA,viewrating.asp?drug=204275&name=BREO+ELLIPTA
232,BRETHINE,viewrating.asp?drug=17849&name=BRETHINE
233,BREVICON 28-DAY,viewrating.asp?drug=17743&name=BREVICON+28%2DDAY
234,BREVITAL SODIUM,viewrating.asp?drug=11559&name=BREVITAL+SODIUM
235,BRILINTA,viewrating.asp?drug=22433&name=BRILINTA
236,BRINTELLIX,viewrating.asp?drug=204447&name=BRINTELLIX
237,BROMFED-DM,viewrating.asp?drug=89681&name=BROMFED%2DDM
238,BROMOCRIPTINE MESYLATE,viewrating.asp?drug=74631&name=BROMOCRIPTINE+MESYLATE
239,BUMETANIDE,viewrating.asp?drug=74160&name=BUMETANIDE
240,BUMEX,viewrating.asp?drug=18225&name=BUMEX
241,BUPIVACAINE HCL,viewrating.asp?drug=18053&name=BUPIVACAINE+HCL
242,BUPRENEX,viewrating.asp?drug=18401&name=BUPRENEX
243,BUPRENORPHINE HCL,viewrating.asp?drug=74137&name=BUPRENORPHINE+HCL
244,BUPROPION HCL,viewrating.asp?drug=75310&name=BUPROPION+HCL
245,BUPROPION HYDROCHLORIDE,viewrating.asp?drug=77285&name=BUPROPION+HYDROCHLORIDE
246,BUSPAR,viewrating.asp?drug=18731&name=BUSPAR
247,BUSPIRONE HYDROCHLORIDE,viewrating.asp?drug=75388&name=BUSPIRONE+HYDROCHLORIDE
248,BUTALBITAL W/ ASPIRIN & CAFFEINE,viewrating.asp?drug=87048&name=BUTALBITAL+W%2F+ASPIRIN+%26+CAFFEINE
249,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",viewrating.asp?drug=40261&name=BUTALBITAL%2C+ACETAMINOPHEN+AND+CAFFEINE
250,"BUTALBITAL, ASPIRIN AND CAFFEINE",viewrating.asp?drug=86162&name=BUTALBITAL%2C+ASPIRIN+AND+CAFFEINE
251,BUTRANS,viewrating.asp?drug=21306&name=BUTRANS
252,BYDUREON,viewrating.asp?drug=22200&name=BYDUREON
253,BYETTA,viewrating.asp?drug=21773&name=BYETTA
254,BYSTOLIC,viewrating.asp?drug=21742&name=BYSTOLIC
255,CABERGOLINE,viewrating.asp?drug=78035&name=CABERGOLINE
256,CADUET,viewrating.asp?drug=21540&name=CADUET
257,CAFERGOT,viewrating.asp?drug=9000&name=CAFERGOT
258,CALAN,viewrating.asp?drug=18817&name=CALAN
259,CALAN SR,viewrating.asp?drug=19152&name=CALAN+SR
260,CALCITONIN-SALMON,viewrating.asp?drug=73690&name=CALCITONIN%2DSALMON
261,CAMBIA,viewrating.asp?drug=22165&name=CAMBIA
262,CAMILA,viewrating.asp?drug=76177&name=CAMILA
263,CAMPRAL,viewrating.asp?drug=21431&name=CAMPRAL
264,CAMPTOSAR,viewrating.asp?drug=20571&name=CAMPTOSAR
265,CANASA,viewrating.asp?drug=21252&name=CANASA
266,CANDESARTAN CILEXETIL,viewrating.asp?drug=202079&name=CANDESARTAN+CILEXETIL
267,CAPITAL WITH CODEINE,viewrating.asp?drug=83643&name=CAPITAL+WITH+CODEINE
268,CAPOZIDE 25/15,viewrating.asp?drug=18709&name=CAPOZIDE+25%2F15
269,CAP-PROFEN,viewrating.asp?drug=72097&name=CAP%2DPROFEN
270,CAPTOPRIL,viewrating.asp?drug=74322&name=CAPTOPRIL
271,CAPTOPRIL AND HYDROCHLOROTHIAZIDE,viewrating.asp?drug=74788&name=CAPTOPRIL+AND+HYDROCHLOROTHIAZIDE
272,CARAFATE,viewrating.asp?drug=18333&name=CARAFATE
273,CARBAMAZEPINE,viewrating.asp?drug=70231&name=CARBAMAZEPINE
274,CARBATROL,viewrating.asp?drug=20712&name=CARBATROL
275,CARBOCAINE W/ NEO-COBEFRIN,viewrating.asp?drug=12125&name=CARBOCAINE+W%2F+NEO%2DCOBEFRIN
276,CARBOPLATIN,viewrating.asp?drug=76235&name=CARBOPLATIN
277,CARDENE SR,viewrating.asp?drug=20005&name=CARDENE+SR
278,CARDIOLITE,viewrating.asp?drug=19785&name=CARDIOLITE
279,CARDIZEM,viewrating.asp?drug=18602&name=CARDIZEM
280,CARDIZEM CD,viewrating.asp?drug=20062&name=CARDIZEM+CD
281,CARDIZEM LA,viewrating.asp?drug=21392&name=CARDIZEM+LA
282,CARDIZEM SR,viewrating.asp?drug=19471&name=CARDIZEM+SR
283,CARDURA,viewrating.asp?drug=19668&name=CARDURA
284,CARISOPRODOL,viewrating.asp?drug=40124&name=CARISOPRODOL
285,CARTIA XT,viewrating.asp?drug=74752&name=CARTIA+XT
286,CARVEDILOL,viewrating.asp?drug=78384&name=CARVEDILOL
287,CASODEX,viewrating.asp?drug=20498&name=CASODEX
288,CATAFLAM,viewrating.asp?drug=20142&name=CATAFLAM
289,CATAPRES,viewrating.asp?drug=17407&name=CATAPRES
290,CATAPRES-TTS-1,viewrating.asp?drug=18891&name=CATAPRES%2DTTS%2D1
291,CECLOR,viewrating.asp?drug=50521&name=CECLOR
292,CECLOR CD,viewrating.asp?drug=50673&name=CECLOR+CD
293,CEDAX,viewrating.asp?drug=50685&name=CEDAX
294,CEFACLOR,viewrating.asp?drug=64061&name=CEFACLOR
295,CEFADROXIL,viewrating.asp?drug=62291&name=CEFADROXIL
296,CEFDINIR,viewrating.asp?drug=65434&name=CEFDINIR
297,CEFOTAN,viewrating.asp?drug=50588&name=CEFOTAN
298,CEFPROZIL,viewrating.asp?drug=65381&name=CEFPROZIL
299,CEFTIN,viewrating.asp?drug=50605&name=CEFTIN
300,CEFUROXIME AXETIL,viewrating.asp?drug=65323&name=CEFUROXIME+AXETIL
301,CEFZIL,viewrating.asp?drug=50664&name=CEFZIL
302,CELEBREX,viewrating.asp?drug=20998&name=CELEBREX
303,CELESTONE,viewrating.asp?drug=12657&name=CELESTONE
304,CELEXA,viewrating.asp?drug=20822&name=CELEXA
305,CELLCEPT,viewrating.asp?drug=50722&name=CELLCEPT
306,CELONTIN,viewrating.asp?drug=10596&name=CELONTIN
307,CENESTIN,viewrating.asp?drug=20992&name=CENESTIN
308,CEPHALEXIN,viewrating.asp?drug=61969&name=CEPHALEXIN
309,CEPHULAC,viewrating.asp?drug=17657&name=CEPHULAC
310,CERVIDIL,viewrating.asp?drug=20411&name=CERVIDIL
311,CESAMET,viewrating.asp?drug=18677&name=CESAMET
312,CETROTIDE,viewrating.asp?drug=21197&name=CETROTIDE
313,CHANTIX,viewrating.asp?drug=21928&name=CHANTIX
314,CHEMET,viewrating.asp?drug=19998&name=CHEMET
315,CHILDREN'S CLARITIN,viewrating.asp?drug=21891&name=CHILDREN%27S+CLARITIN
316,CHILDREN'S ZYRTEC ALLERGY,viewrating.asp?drug=22155&name=CHILDREN%27S+ZYRTEC+ALLERGY
317,CHLORAPREP,viewrating.asp?drug=20832&name=CHLORAPREP
318,CHLORDIAZEPOXIDE AND AMITRIPTYLINE HCL,viewrating.asp?drug=71296&name=CHLORDIAZEPOXIDE+AND+AMITRIPTYLINE+HCL
319,CHLORHEXIDINE GLUCONATE,viewrating.asp?drug=74291&name=CHLORHEXIDINE+GLUCONATE
320,CHLORPROMAZINE HCL,viewrating.asp?drug=40224&name=CHLORPROMAZINE+HCL
321,CHLORTHALIDONE,viewrating.asp?drug=86831&name=CHLORTHALIDONE
322,CHLOR-TRIMETON,viewrating.asp?drug=7638&name=CHLOR%2DTRIMETON
323,CHORIONIC GONADOTROPIN,viewrating.asp?drug=17016&name=CHORIONIC+GONADOTROPIN
324,CHRONULAC,viewrating.asp?drug=17884&name=CHRONULAC
325,CIALIS,viewrating.asp?drug=21368&name=CIALIS
326,CILOXAN,viewrating.asp?drug=19992&name=CILOXAN
327,CIMZIA,viewrating.asp?drug=125160&name=CIMZIA
328,CIPRO,viewrating.asp?drug=19537&name=CIPRO
329,CIPRO HC,viewrating.asp?drug=20805&name=CIPRO+HC
330,CIPRO IN DEXTROSE 5% IN PLASTIC CONTAINER,viewrating.asp?drug=19857&name=CIPRO+IN+DEXTROSE+5%25+IN+PLASTIC+CONTAINER
331,CIPRO XR,viewrating.asp?drug=21473&name=CIPRO+XR
332,CIPRODEX,viewrating.asp?drug=21537&name=CIPRODEX
333,CIPROFLOXACIN,viewrating.asp?drug=78062&name=CIPROFLOXACIN
334,CIPROFLOXACIN HYDROCHLORIDE,viewrating.asp?drug=76555&name=CIPROFLOXACIN+HYDROCHLORIDE
335,CIPROFLOXACIN IN DEXTROSE 5% IN PLASTIC CONTAINER,viewrating.asp?drug=78252&name=CIPROFLOXACIN+IN+DEXTROSE+5%25+IN+PLASTIC+CONTAINER
336,CISPLATIN,viewrating.asp?drug=74656&name=CISPLATIN
337,CITALOPRAM HYDROBROMIDE,viewrating.asp?drug=77668&name=CITALOPRAM+HYDROBROMIDE
338,CITANEST PLAIN,viewrating.asp?drug=14763&name=CITANEST+PLAIN
339,CLARAVIS,viewrating.asp?drug=76356&name=CLARAVIS
340,CLARINEX,viewrating.asp?drug=21300&name=CLARINEX
341,CLARITHROMYCIN,viewrating.asp?drug=65382&name=CLARITHROMYCIN
342,CLARITIN,viewrating.asp?drug=19658&name=CLARITIN
343,CLARITIN REDITABS,viewrating.asp?drug=20704&name=CLARITIN+REDITABS
344,CLARITIN-D,viewrating.asp?drug=19670&name=CLARITIN%2DD
345,CLARITIN-D 24 HOUR,viewrating.asp?drug=20470&name=CLARITIN%2DD+24+HOUR
346,CLEMASTINE FUMARATE,viewrating.asp?drug=73095&name=CLEMASTINE+FUMARATE
347,CLEOCIN,viewrating.asp?drug=50680&name=CLEOCIN
348,CLEOCIN HYDROCHLORIDE,viewrating.asp?drug=50162&name=CLEOCIN+HYDROCHLORIDE
349,CLEOCIN T,viewrating.asp?drug=50537&name=CLEOCIN+T
350,CLIMARA,viewrating.asp?drug=20375&name=CLIMARA
351,CLIMARA PRO,viewrating.asp?drug=21258&name=CLIMARA+PRO
352,CLINDAGEL,viewrating.asp?drug=50782&name=CLINDAGEL
